Species,Strain,Temp.treatment,Temp.value,Replicate,Num.disp,Num.nondisp
Aphanomyces euteiches,Fifi46,high,26,rep2,0,17
Aphanomyces euteiches,Fifi46,high,26,rep3,1,39
Aphanomyces euteiches,Fifi46,high,26,rep4,0,1
Aphanomyces euteiches,Fifi46,high,26,rep5,0,15
Aphanomyces euteiches,Fifi46,high,26,rep6,3,67
Aphanomyces euteiches,RB84,high,26,rep1,0,2
Aphanomyces euteiches,RB84,high,26,rep2,1,6
Aphanomyces euteiches,RB84,high,26,rep3,2,6
Aphanomyces euteiches,RB84,high,26,rep4,0,4
Aphanomyces euteiches,RB84,high,26,rep5,1,7
Aphanomyces euteiches,RB84,high,26,rep6,0,2
Aphanomyces euteiches,Fifi46,low,14,rep1,0,55
Aphanomyces euteiches,Fifi46,low,14,rep2,1,53
Aphanomyces euteiches,Fifi46,low,14,rep3,5,130
Aphanomyces euteiches,Fifi46,low,14,rep4,3,114
Aphanomyces euteiches,Fifi46,low,14,rep5,1,77
Aphanomyces euteiches,Fifi46,low,14,rep6,2,116
Aphanomyces euteiches,RB84,low,14,rep1,2,8
Aphanomyces euteiches,RB84,low,14,rep2,2,12
Aphanomyces euteiches,RB84,low,14,rep3,0,3
Aphanomyces euteiches,RB84,low,14,rep4,2,11
Aphanomyces euteiches,RB84,low,14,rep5,2,26
Aphanomyces euteiches,RB84,low,14,rep6,4,25
Aphanomyces euteiches,Fifi46,opt,22,rep1,2,57
Aphanomyces euteiches,Fifi46,opt,22,rep2,2,50
Aphanomyces euteiches,Fifi46,opt,22,rep3,4,102
Aphanomyces euteiches,Fifi46,opt,22,rep4,2,86
Aphanomyces euteiches,Fifi46,opt,22,rep5,0,68
Aphanomyces euteiches,Fifi46,opt,22,rep6,3,109
Aphanomyces euteiches,RB84,opt,22,rep1,1,25
Aphanomyces euteiches,RB84,opt,22,rep2,3,17
Aphanomyces euteiches,RB84,opt,22,rep3,0,14
Aphanomyces euteiches,RB84,opt,22,rep4,1,12
Aphanomyces euteiches,RB84,opt,22,rep5,0,10
Aphanomyces euteiches,RB84,opt,22,rep6,0,11
Aphanomyces euteiches,Fifi46,high,26,rep1,7,54
