"Temp.treatment","Temp.value","Block","Mesocosm","Fitness"
"high",30,1,"1.25",26
"high",30,1,"1.25",18
"high",30,1,"1.25",28
"high",30,1,"1.24",31
"high",30,1,"1.24",31
"high",30,1,"1.24",15
"high",30,1,"1.23",5
"high",30,1,"1.23",4
"high",30,1,"1.22",27
"high",30,1,"1.22",46
"high",30,1,"1.21",71
"high",30,1,"1.21",20
"high",30,1,"1.21",11
"opt",26,1,"1.15",25
"opt",26,1,"1.15",6
"opt",26,1,"1.14",20
"opt",26,1,"1.14",49
"opt",26,1,"1.14",44
"opt",26,1,"1.13",28
"opt",26,1,"1.13",98
"opt",26,1,"1.13",0
"opt",26,1,"1.12",24
"opt",26,1,"1.12",15
"opt",26,1,"1.12",18
"opt",26,1,"1.11",7
"opt",26,1,"1.11",32
"opt",26,1,"1.11",30
"low",16,1,"1.30",26
"low",16,1,"1.30",46
"low",16,1,"1.30",7
"low",16,1,"1.29",22
"low",16,1,"1.29",6
"low",16,1,"1.29",42
"low",16,1,"1.28",24
"low",16,1,"1.28",27
"low",16,1,"1.28",24
"low",16,1,"1.27",30
"low",16,1,"1.27",27
"low",16,1,"1.27",25
"low",16,1,"1.26",20
"low",16,1,"1.26",41
"low",16,1,"1.26",22
"opt",26,2,"2.11",48
"opt",26,2,"2.11",45
"opt",26,2,"2.12",28
"opt",26,2,"2.12",21
"opt",26,2,"2.13",64
"opt",26,2,"2.13",49
"opt",26,2,"2.14",17
"opt",26,2,"2.14",68
"opt",26,2,"2.15",54
"high",30,2,"2.21",38
"high",30,2,"2.21",4
"high",30,2,"2.23",37
"high",30,2,"2.23",7
"high",30,2,"2.24",14
"high",30,2,"2.24",40
"high",30,2,"2.25",6
"high",30,2,"2.25",15
"low",16,2,"2.26",36
"low",16,2,"2.26",64
"low",16,2,"2.27",10
"low",16,2,"2.28",44
"low",16,2,"2.28",43
"low",16,2,"2.29",43
"low",16,2,"2.29",48
"low",16,2,"2.30",11
"low",16,2,"2.30",0
