Tank,Treatment ,ID,Survival,Death_Date,Dispersal,Disp_Date 
1,26,1,0,27-Aug-24,0,
1,26,2,1,,0,
1,26,3,0,30-Aug-24,0,
1,26,4,1,,0,
1,26,5,1,,0,
1,26,6,1,,1,26-Aug-24
1,26,7,0,28-Aug-24,0,
1,26,8,0,28-Aug-24,0,
1,26,9,1,,0,
1,26,10,0,20-Aug-24,0,
1,26,11,1,,0,
1,26,12,1,,0,
1,26,13,1,,0,
2,30,14,1,,1,24-Aug-24
2,30,15,1,,1,24-Aug-24
2,30,16,0,20-Aug-24,0,
2,30,17,1,,0,
2,30,18,0,26-Aug-24,0,
2,30,19,1,,1,24-Aug-24
2,30,20,0,30-Aug-24,0,
2,30,21,1,,1,24-Aug-24
2,30,22,1,,1,25-Aug-24
2,30,23,0,21-Aug-24,0,
2,30,24,0,20-Aug-24,0,
2,30,25,1,,1,24-Aug-24
2,30,26,0,29-Aug-24,0,
3,26,27,1,,0,
3,26,28,1,,1,26-Aug-24
3,26,29,1,,0,
3,26,30,1,,0,
3,26,31,0,20-Aug-24,0,
3,26,32,1,,1,23-Aug-24
3,26,33,0,20-Aug-24,0,
3,26,34,1,,0,
3,26,35,1,,1,25-Aug-24
3,26,36,0,27-Aug-24,0,
3,26,37,0,20-Aug-24,0,
3,26,38,1,,0,
3,26,39,1,,1,25-Aug-24
4,26,40,0,25-Aug-24,0,
4,26,41,0,28-Aug-24,0,
4,26,42,1,,1,27-Aug-24
4,26,43,1,,0,
4,26,44,0,27-Aug-24,0,
4,26,45,1,,0,
4,26,46,1,,0,
4,26,47,1,,0,
4,26,48,1,,1,26-Aug-24
4,26,49,0,28-Aug-24,0,
4,26,50,1,,0,
4,26,51,0,20-Aug-24,0,
4,26,52,1,,0,
5,16,53,0,29-Aug-24,0,
5,16,54,1,,0,
5,16,55,1,,1,30-Aug-24
5,16,56,1,,1,30-Aug-24
5,16,57,0,27-Aug-24,0,
5,16,58,1,,0,
5,16,59,0,28-Aug-24,0,
5,16,60,1,,1,26-Aug-24
5,16,61,0,21-Aug-24,0,
5,16,62,0,28-Aug-24,0,
5,16,63,1,,1,25-Aug-24
5,16,64,0,26-Aug-24,0,
5,16,65,0,26-Aug-24,0,
6,16,66,1,,0,
6,16,67,1,,0,
6,16,68,1,,0,
6,16,69,1,,0,
6,16,70,0,20-Aug-24,0,
6,16,71,1,,0,
6,16,72,1,,0,
6,16,73,1,,0,
6,16,74,1,,1,28-Aug-24
6,16,75,1,,0,
6,16,76,1,,0,
6,16,77,1,,1,28-Aug-24
6,16,78,1,,1,28-Aug-24
7,30,79,1,,1,30-Aug-24
7,30,80,1,,0,
7,30,81,1,,0,
7,30,82,1,,0,
7,30,83,1,,1,24-Aug-24
7,30,84,1,,0,
7,30,85,1,,1,22-Aug-24
7,30,86,1,,0,
7,30,87,1,,1,24-Aug-24
7,30,88,1,,1,27-Aug-24
7,30,89,0,28-Aug-24,0,
7,30,90,1,,1,25-Aug-24
7,30,91,0,29-Aug-24,0,
8,16,92,1,,0,
8,16,93,1,,1,28-Aug-24
8,16,94,1,,0,
8,16,95,1,,0,
8,16,96,1,,0,
8,16,97,1,,1,25-Aug-24
8,16,98,1,,0,
8,16,99,1,,0,
8,16,100,1,,0,
8,16,101,1,,0,
8,16,102,1,,0,
8,16,103,1,,0,
8,16,104,1,,0,
9,30,105,1,,1,30-Aug-24
9,30,106,1,,0,
9,30,107,0,27-Aug-24,0,
9,30,108,0,20-Aug-24,0,
9,30,109,1,,1,23-Aug-24
9,30,110,0,20-Aug-24,0,
9,30,111,0,29-Aug-24,0,
9,30,112,0,27-Aug-24,0,
9,30,113,1,,1,25-Aug-24
9,30,114,1,,1,24-Aug-24
9,30,115,0,26-Aug-24,0,
9,30,116,0,27-Aug-24,0,
9,30,117,1,,0,
10,26,118,1,,1,21-Aug-24
10,26,119,1,,1,24-Aug-24
10,26,120,1,,0,
10,26,121,1,,0,
10,26,122,0,20-Aug-24,0,
10,26,123,0,20-Aug-24,0,
10,26,124,1,,0,
10,26,125,1,,0,
10,26,126,0,20-Aug-24,0,
10,26,127,1,,0,
10,26,128,1,,1,25-Aug-24
10,26,129,1,,1,23-Aug-24
10,26,130,1,,0,
11,30,131,1,,0,
11,30,132,1,,0,
11,30,133,1,,0,
11,30,134,0,20-Aug-24,0,
11,30,135,0,28-Aug-24,0,
11,30,136,0,26-Aug-24,0,
11,30,137,0,27-Aug-24,0,
11,30,138,0,20-Aug-24,0,
11,30,139,0,29-Aug-24,0,
11,30,140,0,28-Aug-24,0,
11,30,141,1,,1,24-Aug-24
11,30,142,0,27-Aug-24,0,
11,30,143,1,,1,23-Aug-24
12,16,144,1,,0,
12,16,145,1,,1,24-Aug-24
12,16,146,1,,0,
12,16,147,1,,0,
12,16,148,1,,0,
12,16,149,1,,0,
12,16,150,1,,0,
12,16,151,1,,0,
12,16,152,0,23-Aug-24,0,
12,16,153,1,,0,
12,16,154,1,,1,26-Aug-24
12,16,155,1,,0,
12,16,156,1,,0,
13,26,157,0,27-Aug-24,0,
13,26,158,1,,0,
13,26,159,1,,0,
13,26,160,1,,1,25-Aug-24
13,26,161,1,,1,26-Aug-24
13,26,162,1,,0,
13,26,163,0,20-Aug-24,0,
13,26,164,1,,0,
13,26,165,1,,0,
13,26,166,1,,1,25-Aug-24
13,26,167,1,,0,
13,26,168,1,,1,25-Aug-24
13,26,169,1,,1,26-Aug-24
14,16,170,1,,0,
14,16,171,1,,0,
14,16,172,1,,0,
14,16,173,1,,0,
14,16,174,0,27-Aug-24,0,
14,16,175,1,,0,
14,16,176,1,,0,
14,16,177,1,,1,27-Aug-24
14,16,178,1,,1,27-Aug-24
14,16,179,1,,0,
14,16,180,1,,0,
14,16,181,1,,0,
14,16,182,1,,0,
15,30,183,1,,1,23-Aug-24
15,30,184,1,,0,
15,30,185,1,,0,
15,30,186,0,27-Aug-24,0,
15,30,187,0,26-Aug-24,0,
15,30,188,0,25-Aug-24,0,
15,30,189,1,,1,26-Aug-24
15,30,190,1,,0,
15,30,191,1,,1,27-Aug-24
15,30,192,1,,0,
15,30,193,0,20-Aug-24,0,
15,30,194,1,,1,24-Aug-24
15,30,195,1,,1,27-Aug-24
16,16,196,1,,1,27-Aug-24
16,16,197,1,,0,
16,16,198,1,,1,27-Aug-24
16,16,199,1,,0,
16,16,200,1,,1,27-Aug-24
16,16,201,1,,0,
16,16,202,1,,0,
16,16,203,1,,1,25-Aug-24
16,16,204,1,,1,28-Aug-24
16,16,205,1,,1,27-Aug-24
16,16,206,1,,0,
16,16,207,1,,1,27-Aug-24
16,16,208,1,,0,
17,30,209,1,,0,
17,30,210,1,,0,
17,30,211,1,,0,
17,30,212,1,,1,24-Aug-24
17,30,213,0,21-Aug-24,0,
17,30,214,1,,0,
17,30,215,1,,0,
17,30,216,1,,0,
17,30,217,0,23-Aug-24,0,
17,30,218,0,28-Aug-24,0,
17,30,219,1,,0,
17,30,220,1,,1,24-Aug-24
17,30,221,0,27-Aug-24,0,
18,26,222,1,,1,27-Aug-24
18,26,223,1,,0,
18,26,224,0,29-Aug-24,0,
18,26,225,1,,0,
18,26,226,1,,0,
18,26,227,1,,1,28-Aug-24
18,26,228,1,,1,24-Aug-24
18,26,229,1,,0,
18,26,230,0,27-Aug-24,0,
18,26,231,1,,0,
18,26,232,1,,1,24-Aug-24
18,26,233,1,,0,
18,26,234,1,,1,24-Aug-24
