"Species","Temp.treatment","Temp.value","Replicate","Fitness","y0","y0_lm","lag","r2"
"Bigelowiellia natans","low",14,"BnR1",0.00422254110656632,0.0507999993860722,0.0426549178938847,41.3859244039323,0.27380793535374
"Bigelowiellia natans","opt",18,"BnR1",0.0136406527194252,0.0524999983608723,0.0167761922293218,83.6362019998158,0.95562890755695
"Bigelowiellia natans","high",30,"BnR1",0.00578568710483416,0.0494999997317791,0.043968776732032,20.4803508583402,0.975644130963611
"Bigelowiellia natans","low",14,"BnR10",0.0112793742074573,0.0472999997437,0.0226191519024386,65.403744905223,0.535381125988139
"Bigelowiellia natans","opt",18,"BnR10",0.0108266765515227,0.0527999997138977,0.0318578267806466,46.6651139215392,0.901291265401088
"Bigelowiellia natans","high",30,"BnR10",0.00139493704598055,0.0476000010967255,0.0527976089535645,-74.2923279134634,0.125477307888081
"Bigelowiellia natans","low",14,"BnR11",0.00939637840391817,0.0542999990284443,0.0342969742212861,48.8983153017838,0.845751775574024
"Bigelowiellia natans","opt",18,"BnR11",0.00507367773246976,0.0571999996900558,0.0567454394483789,1.57254804082038,0.386961582787719
"Bigelowiellia natans","high",30,"BnR11",0.00289767664866732,0.0483000017702579,0.0486977196459126,-2.83006289433148,0.920540783710849
"Bigelowiellia natans","low",14,"BnR12",0.0055767676095165,0.0471000000834465,0.030575707224939,77.4762767462628,0.974031370199645
"Bigelowiellia natans","opt",18,"BnR12",0.00918644640465429,0.0516000017523766,0.0317240225551193,52.9527394838277,0.977865030167248
"Bigelowiellia natans","high",30,"BnR12",0.00248051996006586,0.0474999994039536,0.0479005148614117,-3.38499777244635,0.922049898168652
"Bigelowiellia natans","low",14,"BnR2",0.00486843139453918,0.048700001090765,0.0343465592171809,71.722733440708,0.894124788017072
"Bigelowiellia natans","opt",18,"BnR2",0.00741565570668342,0.0549999997019768,0.0335286288631003,66.7417060051806,0.947652018692245
"Bigelowiellia natans","high",30,"BnR2",0.0043878639600127,0.048700001090765,0.0445665201442112,20.2139687041657,0.962071392111906
"Bigelowiellia natans","low",14,"BnR3",0.00407469554928472,0.0504000000655651,0.0404346524313012,54.0663769701416,0.655240177524916
"Bigelowiellia natans","opt",18,"BnR3",0.00938855967831116,0.0551000013947487,0.0291203878224713,67.9242846616759,0.940566930295827
"Bigelowiellia natans","high",30,"BnR3",0.00200016067296738,0.0520999990403652,0.0493008479670107,27.6096065899403,0.958300506404985
"Bigelowiellia natans","low",14,"BnR4",0.00378187115442592,0.0483999997377396,0.0422111396148484,36.1767084583298,0.608763803325024
"Bigelowiellia natans","opt",18,"BnR4",0.0050385157573649,0.0516999997198582,0.0422084447445142,40.257383803533,0.975135869201497
"Bigelowiellia natans","high",30,"BnR4",0.00145930464258136,0.049100000411272,0.0483584446160668,10.4283780888643,0.735983656960106
"Bigelowiellia natans","low",14,"BnR5",0.00422244016693232,0.0500000007450581,0.0396489471737422,54.9347335724741,0.740121023618011
"Bigelowiellia natans","opt",18,"BnR5",0.0057734698638801,0.0575000010430813,0.0439328043937771,46.613852424359,0.978286699004601
"Bigelowiellia natans","high",30,"BnR5",0.00205676624262923,0.048200000077486,0.0483993028679385,-2.00625006098891,0.885864694545527
"Bigelowiellia natans","low",14,"BnR6",0.00768839344097305,0.0480999983847141,0.0303763307944699,59.7808156143361,0.872037226759163
"Bigelowiellia natans","opt",18,"BnR6",0.00894282166699756,0.0540000014007092,0.0374000401244537,41.07342278697,0.571806799047368
"Bigelowiellia natans","high",30,"BnR6",0.00236178647411648,0.049600001424551,0.0498913760953695,-2.48003013573112,0.882091747017008
"Bigelowiellia natans","low",14,"BnR7",0.00565491529998836,0.0491999983787537,0.0357813651635365,56.3167336598429,0.753452670281031
"Bigelowiellia natans","opt",18,"BnR7",0.00528266519993479,0.0520000010728836,0.0427213873466059,37.2054753251645,0.974473808206375
"Bigelowiellia natans","high",30,"BnR7",0.00199745403290743,0.0500000007450581,0.050348515589815,-3.47748506616309,0.712528205493433
"Bigelowiellia natans","low",14,"BnR8",0.00468793388151318,0.0494000017642975,0.0378079112197838,57.0468983590442,0.798416459403949
"Bigelowiellia natans","opt",18,"BnR8",0.00699436648681458,0.0520000010728836,0.0372285978360115,47.7765234172327,0.956406678747275
"Bigelowiellia natans","high",30,"BnR8",0.00204063277232189,0.0496999993920326,0.0510518685728451,-13.1514235354431,0.41234321066145
"Bigelowiellia natans","low",14,"BnR9",0.00375012754664509,0.048200000077486,0.0387039945261477,58.5089993596014,0.727697346078198
"Bigelowiellia natans","opt",18,"BnR9",0.00823691488590623,0.0511000007390976,0.0330813598565682,52.7885185493509,0.971770070754979
"Bigelowiellia natans","high",30,"BnR9",0.00225380646938554,0.0474000014364719,0.0477929341936421,-3.6629362192476,0.909114051954928
