"X","Temp.treatment","Temp.value","Replicate","Fitness"
1,"low",20,1,0.0761134887429731
2,"low",20,2,0.0722689304330754
3,"low",20,3,0.0742308516663692
4,"low",20,4,0.081050022160507
5,"low",20,5,0.069134860621655
6,"opt",36,1,0.123314008913572
7,"opt",36,2,0.120000825788685
8,"opt",36,3,0.119529330014806
9,"opt",36,4,0.120596403767397
10,"opt",36,5,0.127762620364913
11,"high",38,1,0.107227733909123
12,"high",38,2,0.118140827393154
13,"high",38,3,0.094244731054302
14,"high",38,4,0.0884222992071101
15,"high",38,5,0.0990477375384765
